"system";"bug_id";"instance_id";"is_ob";"is_eb";"is_sr"
"firefox";"622283";"2";"x";"";""
"firefox";"333204";"2";"x";"";""
"firefox";"458603";"11";"";"x";""
"httpd";"21160";"6";"x";"";""
"httpd";"16699";"3";"x";"";""
"facebook";"16250";"2";"x";"";""
"firefox";"309377";"4";"";"";"x"
"facebook";"6034";"2";"x";"";""
"httpd";"33679";"1";"x";"x";"x"
"facebook";"16404";"1";"x";"";""
"firefox";"228607";"10";"x";"";""
"firefox";"576450";"2";"x";"";""
"httpd";"35418";"1";"x";"";""
"eclipse";"16207";"4";"";"x";""
"eclipse";"136242";"4";"x";"";""
"eclipse";"228223";"1";"";"";"x"
"firefox";"247525";"2";"x";"";""
"facebook";"3024";"3";"x";"";""
"firefox";"324354";"2";"x";"";""
"firefox";"379552";"4";"x";"";""
"firefox";"364478";"5";"x";"";""
"eclipse";"204132";"2";"";"x";""
"facebook";"2050";"1";"x";"";""
"eclipse";"172636";"2";"x";"";""
"httpd";"37790";"1";"x";"";""
"firefox";"276552";"2";"x";"";""
"facebook";"305";"6";"x";"";""
"httpd";"16699";"2";"x";"";""
"eclipse";"172636";"4";"";"x";""
"httpd";"37968";"1";"x";"x";""
"firefox";"269121";"4";"";"x";""
"firefox";"349584";"1";"x";"";""
"firefox";"549600";"6";"";"";"x"
"firefox";"367738";"2";"x";"";""
"eclipse";"228223";"2";"x";"";""
"facebook";"16250";"1";"x";"";""
"firefox";"576450";"3";"x";"x";""
"eclipse";"16207";"3";"x";"";""
"eclipse";"187284";"10";"";"";"x"
"firefox";"276552";"1";"";"";"x"
"firefox";"364478";"4";"";"";"x"
"httpd";"46678";"6";"x";"";""
"firefox";"269121";"3";"";"";"x"
"firefox";"266896";"5";"";"x";""
"firefox";"326346";"1";"";"";"x"
"eclipse";"319230";"2";"x";"";""
"firefox";"281774";"2";"x";"x";""
"eclipse";"172636";"3";"";"";"x"
"httpd";"30419";"2";"x";"";""
"eclipse";"208860";"5";"";"x";""
"facebook";"9283";"2";"x";"";""
"httpd";"44114";"3";"x";"";""
"httpd";"17495";"1";"x";"";""
"firefox";"549600";"7";"";"x";""
"httpd";"32486";"1";"x";"";""
"eclipse";"78058";"1";"x";"";""
"httpd";"16699";"5";"x";"";""
"facebook";"1056";"2";"";"";"x"
"eclipse";"136242";"2";"";"";"x"
"firefox";"576450";"5";"";"";"x"
"firefox";"334991";"2";"x";"";""
"eclipse";"221937";"1";"";"x";""
"httpd";"39499";"1";"x";"";""
"httpd";"30419";"13";"";"";"x"
"firefox";"347012";"3";"x";"";""
"eclipse";"270417";"2";"x";"x";""
"firefox";"622283";"5";"";"x";""
"firefox";"269121";"2";"x";"";""
"firefox";"379552";"2";"";"";"x"
"firefox";"438285";"6";"";"x";""
"facebook";"10257";"1";"x";"";""
"eclipse";"306006";"6";"";"";"x"
"firefox";"326346";"4";"x";"";""
"eclipse";"16207";"2";"";"";"x"
"firefox";"253953";"9";"";"x";""
"eclipse";"174813";"2";"x";"";"x"
"httpd";"16699";"4";"x";"";""
"firefox";"458603";"4";"x";"x";""
"facebook";"5761";"2";"x";"";""
"eclipse";"208860";"6";"x";"";""
"eclipse";"102620";"1";"x";"";""
"eclipse";"187284";"2";"x";"";""
"facebook";"1056";"1";"x";"";""
"facebook";"9217";"1";"x";"";""
"facebook";"3224";"7";"x";"";""
"eclipse";"136242";"3";"x";"";""
"eclipse";"40357";"2";"x";"x";""
"eclipse";"270417";"1";"";"";"x"
"facebook";"227";"3";"x";"";"x"
"eclipse";"272692";"1";"x";"";""
"firefox";"364478";"2";"x";"";""
"firefox";"438285";"5";"x";"";""
"firefox";"326346";"3";"";"x";""
"firefox";"379552";"1";"";"x";""
"facebook";"2074";"4";"x";"";""
"eclipse";"252759";"1";"x";"";""
"facebook";"17726";"1";"x";"";""
"facebook";"7892";"4";"";"";"x"
"firefox";"268892";"4";"x";"";""
"httpd";"36509";"8";"";"x";""
"firefox";"302021";"9";"";"x";""
"facebook";"9088";"1";"x";"";""
"httpd";"46678";"3";"x";"";""
"eclipse";"183551";"1";"";"";"x"
"facebook";"15316";"12";"x";"";""
"firefox";"185220";"2";"x";"";""
"httpd";"16057";"5";"";"x";""
"httpd";"18421";"5";"x";"";""
"firefox";"579541";"1";"x";"x";""
"eclipse";"159941";"2";"x";"";""
"firefox";"579338";"9";"x";"";""
"eclipse";"327211";"2";"x";"";""
"eclipse";"267563";"3";"";"";"x"
"eclipse";"252759";"2";"x";"";""
"firefox";"451552";"8";"";"";"x"
"firefox";"440010";"6";"x";"";""
"httpd";"9618";"3";"";"x";""
"firefox";"268892";"3";"";"";"x"
"firefox";"302021";"8";"x";"";""
"httpd";"18421";"6";"x";"";""
"firefox";"611091";"2";"x";"";""
"facebook";"3224";"1";"x";"";""
"eclipse";"212087";"2";"x";"";""
"httpd";"36507";"2";"x";"x";""
"firefox";"284918";"3";"x";"";""
"firefox";"214664";"2";"x";"";""
"facebook";"15316";"13";"x";"";""
"facebook";"4169";"1";"x";"";""
"firefox";"281774";"6";"";"x";""
"firefox";"265169";"4";"";"";"x"
"httpd";"32147";"12";"";"x";""
"firefox";"440010";"7";"";"x";""
"httpd";"12155";"4";"x";"";""
"eclipse";"169312";"1";"x";"";""
"httpd";"33382";"1";"x";"";""
"facebook";"15316";"3";"x";"";""
"facebook";"12009";"1";"";"x";""
"firefox";"229950";"2";"x";"";""
"httpd";"46678";"1";"x";"";""
"eclipse";"166937";"1";"x";"";""
"httpd";"32147";"2";"x";"";""
"firefox";"347970";"1";"x";"";""
"firefox";"185220";"4";"";"";"x"
"firefox";"281774";"5";"x";"";""
"facebook";"8978";"1";"x";"";""
"firefox";"284918";"6";"";"";"x"
"firefox";"214664";"5";"x";"";""
"facebook";"14820";"1";"x";"";""
"firefox";"483422";"4";"";"x";""
"eclipse";"115579";"2";"x";"";""
"eclipse";"159941";"4";"";"";"x"
"eclipse";"72317";"1";"x";"";""
"eclipse";"267563";"1";"x";"";""
"firefox";"268892";"5";"";"x";""
"httpd";"9618";"1";"x";"";""
"firefox";"229950";"4";"x";"";""
"facebook";"2197";"3";"x";"";""
"firefox";"265169";"3";"";"x";""
"facebook";"15316";"4";"x";"";""
"eclipse";"246948";"4";"x";"";"x"
"httpd";"16057";"2";"x";"";""
"firefox";"656562";"2";"x";"";""
"facebook";"3224";"3";"x";"";""
"httpd";"32147";"1";"x";"";""
"firefox";"253629";"8";"";"";"x"
"facebook";"10726";"5";"x";"";""
"firefox";"281774";"4";"";"";"x"
"facebook";"14452";"7";"x";"";""
"httpd";"42767";"7";"x";"";""
"httpd";"39499";"6";"x";"";""
"firefox";"214664";"4";"";"";"x"
"firefox";"185220";"5";"x";"";""
"httpd";"32147";"11";"";"x";""
"firefox";"483422";"3";"x";"";""
"facebook";"9460";"7";"x";"x";""
"eclipse";"209682";"5";"x";"";""
"eclipse";"289198";"1";"x";"";""
"httpd";"43533";"2";"x";"";""
"firefox";"354584";"2";"x";"";""
"firefox";"265169";"6";"";"x";""
"eclipse";"147649";"2";"";"";"x"
"httpd";"48278";"6";"x";"";""
"facebook";"8856";"4";"x";"x";""
"eclipse";"247276";"1";"x";"x";"x"
"httpd";"13020";"2";"x";"";""
"facebook";"2438";"1";"x";"";""
"httpd";"18421";"1";"";"x";"x"
"eclipse";"270798";"11";"x";"";""
"firefox";"226732";"7";"";"x";""
"firefox";"505642";"6";"";"x";""
"httpd";"36509";"3";"";"";"x"
"firefox";"253629";"9";"";"x";""
"facebook";"14526";"2";"x";"";""
"firefox";"606671";"4";"";"x";""
"eclipse";"185056";"2";"";"x";"x"
"firefox";"185220";"6";"";"x";""
"firefox";"579338";"5";"";"";"x"
"eclipse";"155526";"2";"";"";"x"
"eclipse";"183551";"5";"x";"";""
"httpd";"43533";"1";"x";"";""
"eclipse";"121640";"2";"x";"";""
"firefox";"265169";"5";"x";"";""
"firefox";"440010";"2";"x";"";""
"facebook";"8264";"4";"x";"";""
"eclipse";"303039";"2";"x";"";""
"eclipse";"249668";"2";"x";"";"x"
"firefox";"345242";"1";"";"";"x"
"facebook";"959";"1";"x";"";"x"
"eclipse";"171670";"2";"x";"";""
"eclipse";"190982";"2";"x";"x";""
"eclipse";"286568";"1";"x";"";""
"firefox";"505642";"5";"x";"";""
"firefox";"214664";"6";"";"x";""
"facebook";"9460";"5";"";"";"x"
"eclipse";"185056";"3";"x";"";""
"eclipse";"288017";"3";"x";"";""
"eclipse";"155526";"1";"x";"";""
"firefox";"579338";"6";"";"x";""
"eclipse";"121640";"1";"x";"";""
"httpd";"15923";"25";"x";"";""
"facebook";"7892";"2";"";"";"x"
"eclipse";"267563";"4";"";"x";""
"firefox";"354584";"4";"";"x";""
"httpd";"26391";"1";"x";"";""
"facebook";"15316";"7";"";"";"x"
"firefox";"268892";"2";"x";"x";""
"facebook";"112";"1";"x";"";""
"eclipse";"209682";"3";"";"";"x"
"eclipse";"183551";"3";"";"x";""
"facebook";"9460";"2";"x";"";""
"firefox";"284918";"2";"";"x";""
"facebook";"10726";"2";"x";"";""
"eclipse";"155526";"4";"x";"";""
"httpd";"42340";"6";"";"x";""
"eclipse";"294983";"2";"x";"";"x"
"httpd";"41844";"2";"";"";"x"
"eclipse";"113516";"1";"x";"";""
"facebook";"7892";"1";"x";"";""
"eclipse";"267563";"5";"x";"";""
"facebook";"5545";"1";"x";"";""
"facebook";"14152";"1";"x";"";""
"firefox";"229950";"10";"";"x";""
"firefox";"440010";"4";"";"";"x"
"httpd";"50711";"1";"";"";"x"
"eclipse";"147649";"3";"x";"";""
"httpd";"28942";"1";"x";"";"x"
"httpd";"47895";"5";"x";"x";""
"httpd";"40431";"3";"";"x";""
"facebook";"8429";"3";"";"";"x"
"firefox";"606671";"3";"x";"";""
"firefox";"232672";"4";"";"";"x"
"httpd";"42340";"5";"x";"";""
"eclipse";"155526";"3";"";"x";""
"eclipse";"288017";"5";"";"x";""
"firefox";"369172";"4";"";"";"x"
"httpd";"51103";"1";"x";"";""
"httpd";"50283";"5";"";"x";""
"facebook";"14452";"1";"x";"";""
"eclipse";"113516";"2";"";"";"x"
"eclipse";"207254";"3";"";"x";""
"eclipse";"52363";"5";"x";"";""
"eclipse";"262128";"3";"x";"";""
"httpd";"43838";"5";"";"x";""
"facebook";"4794";"1";"x";"";""
"eclipse";"57037";"4";"x";"";""
"httpd";"40292";"3";"";"";"x"
"firefox";"451552";"12";"x";"";""
"facebook";"10526";"3";"x";"";""
"eclipse";"5820";"2";"";"";"x"
"facebook";"10537";"2";"x";"";""
"firefox";"280117";"4";"";"";"x"
"httpd";"41441";"2";"x";"";""
"firefox";"284528";"7";"";"x";""
"facebook";"5205";"1";"x";"";""
"httpd";"51103";"2";"";"";"x"
"eclipse";"148757";"3";"x";"";""
"firefox";"415347";"4";"";"";"x"
"eclipse";"199084";"2";"x";"";""
"eclipse";"207254";"4";"x";"";""
"httpd";"43838";"4";"x";"";""
"httpd";"8890";"1";"x";"";""
"firefox";"283880";"9";"x";"";""
"firefox";"451552";"11";"";"x";""
"eclipse";"5820";"3";"x";"";""
"facebook";"9460";"1";"";"x";""
"firefox";"321832";"3";"x";"";""
"eclipse";"270798";"4";"x";"";""
"firefox";"284528";"6";"x";"";""
"firefox";"215939";"5";"x";"x";""
"facebook";"6597";"1";"x";"";"x"
"httpd";"45994";"1";"x";"";""
"httpd";"51103";"3";"";"";"x"
"eclipse";"33007";"2";"";"";"x"
"firefox";"415347";"5";"";"x";""
"eclipse";"113516";"4";"";"x";""
"firefox";"284528";"5";"";"";"x"
"firefox";"369172";"2";"x";"";""
"firefox";"457187";"2";"x";"";""
"eclipse";"148757";"2";"";"";"x"
"firefox";"283880";"8";"";"x";""
"facebook";"5327";"1";"x";"";""
"eclipse";"268264";"5";"x";"";""
"httpd";"42767";"10";"x";"";""
"firefox";"457187";"3";"";"x";""
"firefox";"505642";"4";"";"";"x"
"firefox";"226732";"5";"";"";"x"
"firefox";"321832";"2";"x";"";""
"eclipse";"270798";"3";"x";"";""
"facebook";"9120";"1";"x";"";""
"facebook";"5053";"3";"x";"";"x"
"facebook";"14112";"1";"x";"";""
"firefox";"280117";"2";"x";"";""
"firefox";"439967";"2";"x";"";""
"httpd";"51103";"4";"";"x";""
"firefox";"415347";"6";"x";"";""
"httpd";"47895";"1";"x";"";""
"firefox";"283880";"7";"";"";"x"
"firefox";"505642";"2";"x";"";""
"facebook";"3030";"1";"x";"";"x"
"firefox";"457187";"1";"";"";"x"
"eclipse";"207254";"2";"";"";"x"
"facebook";"12395";"2";"x";"";""
"httpd";"43838";"2";"x";"";""
"facebook";"4334";"1";"";"x";""
"facebook";"10755";"2";"x";"";""
"httpd";"50907";"4";"x";"";""
"eclipse";"270798";"12";"";"x";""
"firefox";"226732";"6";"x";"";""
"firefox";"253629";"10";"x";"";""
"firefox";"215939";"7";"";"";"x"
"httpd";"51103";"5";"x";"";""
"firefox";"384936";"6";"x";"";""
"firefox";"368320";"3";"";"x";""
"facebook";"7968";"1";"x";"";""
"firefox";"489595";"4";"";"";"x"
"eclipse";"52363";"1";"x";"";"x"
"firefox";"381453";"2";"x";"";""
"facebook";"10602";"2";"x";"";""
"httpd";"35652";"3";"x";"";""
"httpd";"46582";"3";"x";"";""
"firefox";"248141";"4";"x";"";""
"firefox";"229950";"9";"x";"";""
"firefox";"309104";"2";"x";"x";""
"httpd";"12229";"3";"x";"";""
"facebook";"2386";"1";"x";"";""
"firefox";"251376";"6";"";"x";""
"httpd";"33499";"3";"x";"x";""
"firefox";"591579";"2";"";"x";""
"facebook";"8414";"3";"x";"";""
"eclipse";"182214";"1";"x";"";""
"firefox";"534059";"4";"x";"";""
"firefox";"215939";"8";"x";"";""
"firefox";"483422";"2";"";"";"x"
"firefox";"253629";"2";"x";"";""
"httpd";"35652";"4";"";"x";""
"facebook";"4334";"7";"x";"";""
"firefox";"248141";"3";"";"";"x"
"httpd";"27424";"2";"x";"";"x"
"httpd";"12229";"2";"x";"";""
"eclipse";"96887";"2";"";"";"x"
"eclipse";"72121";"1";"";"";"x"
"eclipse";"268264";"4";"";"";"x"
"facebook";"13960";"2";"x";"";""
"firefox";"591579";"1";"x";"";""
"firefox";"534059";"5";"";"x";""
"facebook";"14123";"1";"";"";"x"
"firefox";"384505";"4";"";"";"x"
"facebook";"5053";"2";"x";"";""
"eclipse";"270798";"8";"";"";"x"
"eclipse";"319425";"2";"x";"";""
"firefox";"368320";"5";"x";"";""
"firefox";"215939";"9";"";"x";""
"firefox";"489595";"2";"x";"x";""
"httpd";"9186";"1";"x";"";""
"eclipse";"106554";"1";"";"";"x"
"firefox";"282789";"5";"";"x";""
"eclipse";"199084";"3";"x";"";""
"firefox";"280117";"6";"";"x";""
"httpd";"46616";"2";"x";"";""
"firefox";"253629";"3";"x";"";""
"firefox";"248141";"2";"x";"";""
"firefox";"372163";"3";"";"x";""
"facebook";"3294";"1";"x";"";""
"httpd";"29569";"1";"x";"";""
"eclipse";"96887";"3";"x";"x";""
"httpd";"38036";"2";"";"x";""
"eclipse";"319425";"13";"";"";"x"
"facebook";"10481";"1";"x";"";""
"facebook";"13960";"1";"x";"";""
"httpd";"50907";"1";"x";"";""
"httpd";"15870";"2";"";"";"x"
"facebook";"14123";"4";"x";"";""
"eclipse";"125350";"2";"x";"";""
"facebook";"10602";"3";"x";"x";""
"firefox";"415347";"2";"x";"";""
"firefox";"368320";"2";"x";"";""
"eclipse";"106554";"2";"x";"x";""
"firefox";"229950";"8";"";"";"x"
"facebook";"1994";"1";"x";"x";""
"httpd";"38036";"3";"";"x";""
"eclipse";"268264";"2";"x";"";""
"eclipse";"262128";"2";"";"";"x"
"facebook";"4794";"2";"x";"";""
"facebook";"7968";"2";"x";"x";""
"firefox";"451552";"2";"";"";"x"
"facebook";"10526";"2";"x";"";"x"
"eclipse";"86850";"1";"x";"";""
"firefox";"226732";"2";"x";"";""
"facebook";"8414";"4";"x";"";""
"httpd";"15870";"1";"x";"";""
"firefox";"280117";"5";"x";"";""
"firefox";"439967";"5";"";"";"x"
"firefox";"282789";"4";"";"";"x"
"httpd";"31848";"2";"x";"";""
